Exposure,Outcome,warning
Urate || id:1055,Chang et al. 2017,na
Urate || id:1055,Nalls et al. 2014,na
Heart rate || id:1056,Nalls et al. 2019 (clinically diagnosed cases),na
Heart rate || id:1056,Chang et al. 2017,na
Heart rate || id:1056,Nalls et al. 2014,na
Weight || id:106,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Weight || id:106,Chang et al. 2017,snp+na
Weight || id:106,Nalls et al. 2014,snp+na
Celiac disease || id:1060,Nalls et al. 2019 (clinically diagnosed cases),snp
Celiac disease || id:1060,Chang et al. 2017,snp
Celiac disease || id:1060,Nalls et al. 2014,snp
Weight || id:107,Nalls et al. 2019 (clinically diagnosed cases),na
Weight || id:107,Chang et al. 2017,na
Weight || id:107,Nalls et al. 2014,na
Sitting height ratio || id:1070,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Sitting height ratio || id:1070,Chang et al. 2017,snp+na
Sitting height ratio || id:1070,Nalls et al. 2014,snp+na
Copper || id:1073,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Zinc || id:1079,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Birth weight || id:1083,Nalls et al. 2019 (clinically diagnosed cases),na
Birth weight || id:1083,Chang et al. 2017,na
Birth weight || id:1083,Nalls et al. 2014,na
Birth weight || id:1084,Nalls et al. 2019 (clinically diagnosed cases),na
Birth weight || id:1084,Chang et al. 2017,na
Birth weight || id:1084,Nalls et al. 2014,na
Amyotrophic lateral sclerosis || id:1085,Nalls et al. 2019 (clinically diagnosed cases),snp
Amyotrophic lateral sclerosis || id:1085,Chang et al. 2017,snp
Amyotrophic lateral sclerosis || id:1085,Nalls et al. 2014,snp
Amyotrophic lateral sclerosis || id:1086,Nalls et al. 2019 (clinically diagnosed cases),snp
Amyotrophic lateral sclerosis || id:1086,Chang et al. 2017,snp
Chronotype || id:1087,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Chronotype || id:1087,Chang et al. 2017,snp+na
Chronotype || id:1087,Nalls et al. 2014,snp+na
Sleep duration || id:1088,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:109,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:109,Chang et al. 2017,snp+na
Age at menarche || id:1095,Nalls et al. 2019 (clinically diagnosed cases),na
Age at menarche || id:1095,Chang et al. 2017,na
Age at menarche || id:1095,Nalls et al. 2014,na
Childhood obesity || id:1096,Nalls et al. 2019 (clinically diagnosed cases),snp
Chronic kidney disease || id:1102,Nalls et al. 2019 (clinically diagnosed cases),snp
Chronic kidney disease || id:1102,Chang et al. 2017,snp
Serum creatinine (eGFRcrea) || id:1104,Nalls et al. 2019 (clinically diagnosed cases),na
Serum creatinine (eGFRcrea) || id:1104,Chang et al. 2017,na
Serum creatinine (eGFRcrea) || id:1104,Nalls et al. 2014,na
Serum creatinine (eGFRcrea) || id:1105,Nalls et al. 2019 (clinically diagnosed cases),na
Serum creatinine (eGFRcrea) || id:1105,Chang et al. 2017,na
Serum creatinine (eGFRcrea) || id:1105,Nalls et al. 2014,na
Serum cystatin C (eGFRcys) || id:1106,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Serum cystatin C (eGFRcys) || id:1106,Chang et al. 2017,snp+na
Cardioembolic stroke || id:1109,Nalls et al. 2019 (clinically diagnosed cases),snp
Cardioembolic stroke || id:1109,Chang et al. 2017,snp
Waist-to-hip ratio || id:111,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:111,Chang et al. 2017,snp+na
Waist-to-hip ratio || id:111,Nalls et al. 2014,snp+na
Ovarian cancer || id:1120,Chang et al. 2017,snp
Ovarian cancer || id:1120,Nalls et al. 2014,snp
Invasive mucinous ovarian cancer || id:1123,Nalls et al. 2019 (clinically diagnosed cases),snp
Gamma-linolenic acid (18:3n6) || id:1139,Nalls et al. 2019 (clinically diagnosed cases),na
Gamma-linolenic acid (18:3n6) || id:1139,Chang et al. 2017,na
Gamma-linolenic acid (18:3n6) || id:1139,Nalls et al. 2014,na
Dihomo-gamma-linolenic acid (20:3n6) || id:1140,Nalls et al. 2019 (clinically diagnosed cases),na
Dihomo-gamma-linolenic acid (20:3n6) || id:1140,Chang et al. 2017,na
Dihomo-gamma-linolenic acid (20:3n6) || id:1140,Nalls et al. 2014,na
Arachidonic acid (20:4n6) || id:1141,Nalls et al. 2019 (clinically diagnosed cases),na
Arachidonic acid (20:4n6) || id:1141,Chang et al. 2017,na
Arachidonic acid (20:4n6) || id:1141,Nalls et al. 2014,na
Linoleic acid (18:2n6) || id:1142,Nalls et al. 2019 (clinically diagnosed cases),na
Linoleic acid (18:2n6) || id:1142,Chang et al. 2017,na
Linoleic acid (18:2n6) || id:1142,Nalls et al. 2014,na
Docosapentaenoic acid (22:5n3) || id:1144,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Docosapentaenoic acid (22:5n3) || id:1144,Chang et al. 2017,snp+na
Eicosapentaenoic acid (20:5n3) || id:1147,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Eicosapentaenoic acid (20:5n3) || id:1147,Chang et al. 2017,snp+na
trans-cis-18:2  || id:1148,Nalls et al. 2019 (clinically diagnosed cases),snp+na
cis-trans-18:2 || id:1150,Nalls et al. 2019 (clinically diagnosed cases),snp+na
cis-trans-18:2 || id:1150,Chang et al. 2017,snp+na
palmitoleic acid (16:1n7) || id:1156,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Stearic acid (18:0) plasma levels || id:1158,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Stearic acid (18:0) plasma levels || id:1158,Chang et al. 2017,snp+na
ADHD || id:1183,Nalls et al. 2019 (clinically diagnosed cases),snp
ADHD || id:1183,Chang et al. 2017,snp
ADHD || id:1183,Nalls et al. 2014,snp
Major Depressive Disorder || id:1188,Nalls et al. 2019 (clinically diagnosed cases),snp
Major Depressive Disorder || id:1188,Chang et al. 2017,snp
Serous ovarian cancer: low grade and low malignant potential || id:1229,Nalls et al. 2019 (clinically diagnosed cases),snp
Serous ovarian cancer: low grade and low malignant potential || id:1229,Chang et al. 2017,snp
Serous ovarian cancer: low grade and low malignant potential || id:1229,Nalls et al. 2014,snp
Serous ovarian cancer: low malignant potential || id:1230,Nalls et al. 2019 (clinically diagnosed cases),snp
Serous ovarian cancer: low malignant potential || id:1230,Chang et al. 2017,snp
Mucinous ovarian cancer: invasive and low malignant potential || id:1231,Nalls et al. 2019 (clinically diagnosed cases),snp
Low malignant potential mucinous ovarian cancer || id:1232,Nalls et al. 2019 (clinically diagnosed cases),snp
Low malignant potential mucinous ovarian cancer || id:1232,Chang et al. 2017,snp
Low malignant potential ovarian cancer || id:1233,Nalls et al. 2019 (clinically diagnosed cases),snp
Low malignant potential ovarian cancer || id:1233,Chang et al. 2017,snp
Years of schooling || id:1239,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Years of schooling || id:1239,Chang et al. 2017,lowcase
Years of schooling || id:1239,Nalls et al. 2014,lowcase
CD34 on Stem || id:151,Nalls et al. 2019 (clinically diagnosed cases),snp+na
CD123 on 11c+123+DC || id:159,Nalls et al. 2019 (clinically diagnosed cases),snp+na
CD123 on 11c+123+DC || id:159,Chang et al. 2017,snp+na
CD123 on 11c+123+DC || id:159,Nalls et al. 2014,snp+na
CD32 on 11c+123+DC || id:162,Nalls et al. 2019 (clinically diagnosed cases),snp+na
CD32 on 11c+123+DC || id:162,Chang et al. 2017,snp+na
Body mass index || id:2,Nalls et al. 2019 (clinically diagnosed cases),na
Body mass index || id:2,Chang et al. 2017,na
Body mass index || id:2,Nalls et al. 2014,na
NKeff:%314-158a+ || id:241,Nalls et al. 2019 (clinically diagnosed cases),na
NKeff:%314-158a+ || id:241,Chang et al. 2017,na
NKeff:%314-158a+ || id:241,Nalls et al. 2014,na
Type 2 diabetes || id:26,Nalls et al. 2014,snp
MDC:%32+ || id:266,Nalls et al. 2019 (clinically diagnosed cases),na
MDC:%32+ || id:266,Chang et al. 2017,na
MDC:%32+ || id:266,Nalls et al. 2014,na
Birth weight || id:27,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Haemoglobin concentration || id:270,Nalls et al. 2019 (clinically diagnosed cases),na
Haemoglobin concentration || id:270,Chang et al. 2017,na
Haemoglobin concentration || id:270,Nalls et al. 2014,na
Mean cell haemoglobin || id:271,Nalls et al. 2019 (clinically diagnosed cases),na
Mean cell haemoglobin || id:271,Chang et al. 2017,na
Mean cell haemoglobin || id:271,Nalls et al. 2014,na
Mean cell haemoglobin concentration || id:272,Nalls et al. 2019 (clinically diagnosed cases),na
Mean cell haemoglobin concentration || id:272,Chang et al. 2017,na
Mean cell haemoglobin concentration || id:272,Nalls et al. 2014,na
Mean cell volume || id:273,Nalls et al. 2019 (clinically diagnosed cases),na
Mean cell volume || id:273,Chang et al. 2017,na
Mean cell volume || id:273,Nalls et al. 2014,na
Packed cell volume || id:274,Nalls et al. 2019 (clinically diagnosed cases),na
Packed cell volume || id:274,Chang et al. 2017,na
Packed cell volume || id:274,Nalls et al. 2014,na
Red blood cell count || id:275,Nalls et al. 2019 (clinically diagnosed cases),na
Red blood cell count || id:275,Chang et al. 2017,na
Red blood cell count || id:275,Nalls et al. 2014,na
Birth length || id:29,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Birth length || id:29,Chang et al. 2017,snp+na
Inflammatory bowel disease || id:292,Nalls et al. 2019 (clinically diagnosed cases),na
Inflammatory bowel disease || id:292,Chang et al. 2017,na
Inflammatory bowel disease || id:292,Nalls et al. 2014,na
Inflammatory bowel disease || id:293,Nalls et al. 2019 (clinically diagnosed cases),snp
Inflammatory bowel disease || id:293,Chang et al. 2017,snp
Inflammatory bowel disease || id:293,Nalls et al. 2014,snp
HDL cholesterol || id:299,Nalls et al. 2019 (clinically diagnosed cases),na
HDL cholesterol || id:299,Chang et al. 2017,na
HDL cholesterol || id:299,Nalls et al. 2014,na
LDL cholesterol || id:300,Nalls et al. 2019 (clinically diagnosed cases),na
LDL cholesterol || id:300,Chang et al. 2017,na
LDL cholesterol || id:300,Nalls et al. 2014,na
Total cholesterol || id:301,Nalls et al. 2019 (clinically diagnosed cases),na
Total cholesterol || id:301,Chang et al. 2017,na
Total cholesterol || id:301,Nalls et al. 2014,na
Triglycerides || id:302,Nalls et al. 2019 (clinically diagnosed cases),na
Triglycerides || id:302,Chang et al. 2017,na
Triglycerides || id:302,Nalls et al. 2014,na
Tryptophan || id:304,Nalls et al. 2019 (clinically diagnosed cases),na
Tryptophan || id:304,Chang et al. 2017,na
Tryptophan || id:304,Nalls et al. 2014,na
Leucine || id:306,Nalls et al. 2019 (clinically diagnosed cases),na
Leucine || id:306,Chang et al. 2017,na
Leucine || id:306,Nalls et al. 2014,na
Cholesterol || id:307,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Cholesterol || id:307,Chang et al. 2017,snp+na
Uridine || id:316,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Uridine || id:316,Chang et al. 2017,snp+na
Tyrosine || id:325,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Tyrosine || id:325,Chang et al. 2017,snp+na
Tyrosine || id:325,Nalls et al. 2014,snp+na
Stearate (18:0) || id:331,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Stearate (18:0) || id:331,Chang et al. 2017,snp+na
4-acetamidobutanoate || id:339,Nalls et al. 2019 (clinically diagnosed cases),snp+na
4-acetamidobutanoate || id:339,Chang et al. 2017,snp+na
4-acetamidobutanoate || id:339,Nalls et al. 2014,snp+na
Citrate || id:341,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Citrate || id:341,Chang et al. 2017,snp+na
Citrate || id:341,Nalls et al. 2014,snp+na
Heptanoate (7:0) || id:349,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Laurate (12:0) || id:350,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Laurate (12:0) || id:350,Chang et al. 2017,snp+na
Laurate (12:0) || id:350,Nalls et al. 2014,snp+na
Proline || id:355,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Citrulline || id:356,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Citrulline || id:356,Chang et al. 2017,snp+na
Citrulline || id:356,Nalls et al. 2014,snp+na
Gamma-glutamylglutamine || id:359,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Gamma-glutamyltyrosine || id:360,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Betaine || id:362,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Betaine || id:362,Chang et al. 2017,snp+na
Betaine || id:362,Nalls et al. 2014,snp+na
X-03094 || id:373,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-03094 || id:373,Chang et al. 2017,snp+na
Kynurenine || id:375,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Acetylphosphate || id:378,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Acetylphosphate || id:378,Chang et al. 2017,snp+na
Carnitine || id:379,Nalls et al. 2019 (clinically diagnosed cases),na
Carnitine || id:379,Chang et al. 2017,na
Carnitine || id:379,Nalls et al. 2014,na
3-methyl-2-oxovalerate || id:383,Nalls et al. 2019 (clinically diagnosed cases),snp+na
3-methyl-2-oxovalerate || id:383,Chang et al. 2017,snp+na
X-18601 || id:396,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Myo-inositol || id:417,Nalls et al. 2019 (clinically diagnosed cases),snp+na
"1,5-anhydroglucitol (1,5-AG) || id:419",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"1,5-anhydroglucitol (1,5-AG) || id:419",Chang et al. 2017,snp+na
"1,5-anhydroglucitol (1,5-AG) || id:419",Nalls et al. 2014,snp+na
X-08402 || id:426,Nalls et al. 2019 (clinically diagnosed cases),snp+na
2-hydroxyisobutyrate || id:427,Nalls et al. 2019 (clinically diagnosed cases),snp+na
4-methyl-2-oxopentanoate || id:429,Nalls et al. 2019 (clinically diagnosed cases),snp+na
4-methyl-2-oxopentanoate || id:429,Chang et al. 2017,snp+na
Levulinate (4-oxovalerate) || id:433,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Levulinate (4-oxovalerate) || id:433,Chang et al. 2017,snp+na
Levulinate (4-oxovalerate) || id:433,Nalls et al. 2014,snp+na
X-08988 || id:435,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-08988 || id:435,Chang et al. 2017,snp+na
X-08988 || id:435,Nalls et al. 2014,snp+na
Asthma || id:44,Nalls et al. 2019 (clinically diagnosed cases),snp
Asthma || id:44,Chang et al. 2017,snp
Asthma || id:44,Nalls et al. 2014,snp
X-10510 || id:444,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Indoleacetate || id:446,Nalls et al. 2019 (clinically diagnosed cases),snp+na
N-acetylglycine || id:449,Nalls et al. 2019 (clinically diagnosed cases),snp+na
N-acetylglycine || id:449,Chang et al. 2017,snp+na
N-acetylglycine || id:449,Nalls et al. 2014,snp+na
Androsterone sulfate || id:460,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Acetylcarnitine || id:463,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Acetylcarnitine || id:463,Chang et al. 2017,snp+na
Serine || id:464,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Serine || id:464,Chang et al. 2017,snp+na
Hexanoylcarnitine || id:467,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hexanoylcarnitine || id:467,Chang et al. 2017,snp+na
Alanine || id:469,Nalls et al. 2019 (clinically diagnosed cases),snp+na
2-aminobutyrate || id:471,Nalls et al. 2019 (clinically diagnosed cases),snp+na
2-aminobutyrate || id:471,Chang et al. 2017,snp+na
Butyrylcarnitine || id:476,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Butyrylcarnitine || id:476,Chang et al. 2017,snp+na
Butyrylcarnitine || id:476,Nalls et al. 2014,snp+na
Dehydroisoandrosterone sulfate (DHEA-S) || id:478,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Propionylcarnitine || id:479,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:48,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:48,Chang et al. 2017,na
Hip circumference || id:48,Nalls et al. 2014,na
Caprylate (8:0) || id:481,Nalls et al. 2019 (clinically diagnosed cases),snp+na
10-undecenoate (11:1n1) || id:482,Nalls et al. 2019 (clinically diagnosed cases),snp+na
10-undecenoate (11:1n1) || id:482,Chang et al. 2017,snp+na
X-11204 || id:484,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11204 || id:484,Chang et al. 2017,snp+na
X-02269 || id:485,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:49,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:49,Chang et al. 2017,na
Hip circumference || id:49,Nalls et al. 2014,na
X-11261 || id:490,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11261 || id:490,Chang et al. 2017,snp+na
X-11315 || id:495,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11315 || id:495,Chang et al. 2017,snp+na
X-11317 || id:496,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11317 || id:496,Chang et al. 2017,snp+na
1-linoleoylglycerophosphoethanolamine* || id:497,Nalls et al. 2019 (clinically diagnosed cases),snp+na
1-linoleoylglycerophosphoethanolamine* || id:497,Chang et al. 2017,snp+na
X-11327 || id:498,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:50,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:50,Chang et al. 2017,na
Hip circumference || id:50,Nalls et al. 2014,na
3-dehydrocarnitine* || id:500,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Pyroglutamine* || id:501,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Pyroglutamine* || id:501,Chang et al. 2017,snp+na
X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide || id:505,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide || id:505,Chang et al. 2017,snp+na
X-11423--O-sulfo-L-tyrosine || id:509,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:51,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:51,Chang et al. 2017,na
Hip circumference || id:51,Nalls et al. 2014,na
X-11440 || id:513,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11440 || id:513,Chang et al. 2017,snp+na
"X-11445--5-alpha-pregnan-3beta,20alpha-disulfate || id:517",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"X-11445--5-alpha-pregnan-3beta,20alpha-disulfate || id:517",Chang et al. 2017,snp+na
"X-11445--5-alpha-pregnan-3beta,20alpha-disulfate || id:517",Nalls et al. 2014,snp+na
X-11469 || id:519,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:52,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:52,Chang et al. 2017,na
Hip circumference || id:52,Nalls et al. 2014,na
X-11491 || id:524,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11491 || id:524,Chang et al. 2017,snp+na
HWESASXX* || id:526,Nalls et al. 2019 (clinically diagnosed cases),snp+na
HWESASXX* || id:526,Chang et al. 2017,snp+na
X-11529 || id:528,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11529 || id:528,Chang et al. 2017,snp+na
Hip circumference || id:53,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:53,Chang et al. 2017,na
Hip circumference || id:53,Nalls et al. 2014,na
X-11538 || id:531,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11538 || id:531,Chang et al. 2017,snp+na
X-11593--O-methylascorbate* || id:536,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11593--O-methylascorbate* || id:536,Chang et al. 2017,snp+na
X-11593--O-methylascorbate* || id:536,Nalls et al. 2014,snp+na
ADSGEGDFXAEGGGVR* || id:539,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:54,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:54,Chang et al. 2017,na
Hip circumference || id:54,Nalls et al. 2014,na
X-11787 || id:541,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11792 || id:542,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11793--oxidized bilirubin* || id:543,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11793--oxidized bilirubin* || id:543,Chang et al. 2017,snp+na
Hip circumference || id:55,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:55,Chang et al. 2017,na
Hip circumference || id:55,Nalls et al. 2014,na
1-arachidonoylglycerophosphocholine* || id:558,Nalls et al. 2019 (clinically diagnosed cases),snp+na
1-arachidonoylglycerophosphocholine* || id:558,Chang et al. 2017,snp+na
Hip circumference || id:56,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:56,Chang et al. 2017,na
Hip circumference || id:56,Nalls et al. 2014,na
X-11905 || id:560,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-11905 || id:560,Chang et al. 2017,snp+na
X-12040 || id:568,Chang et al. 2017,snp+na
Hip circumference || id:57,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:57,Chang et al. 2017,na
Hip circumference || id:57,Nalls et al. 2014,na
X-12063 || id:570,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12063 || id:570,Chang et al. 2017,snp+na
X-12063 || id:570,Nalls et al. 2014,snp+na
Gamma-glutamylphenylalanine || id:572,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Isobutyrylcarnitine || id:573,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Erythronate* || id:578,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:58,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:58,Chang et al. 2017,na
Hip circumference || id:58,Nalls et al. 2014,na
X-12092 || id:580,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12093 || id:581,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12100--hydroxytryptophan* || id:584,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12188 || id:587,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12189 || id:588,Chang et al. 2017,snp+na
Hip circumference || id:59,Nalls et al. 2019 (clinically diagnosed cases),na
Hip circumference || id:59,Chang et al. 2017,na
Hip circumference || id:59,Nalls et al. 2014,na
X-12244--N-acetylcarnosine || id:596,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Coronary heart disease || id:6,Nalls et al. 2019 (clinically diagnosed cases),snp
Waist circumference || id:60,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:60,Chang et al. 2017,na
Waist circumference || id:60,Nalls et al. 2014,na
ADpSGEGDFXAEGGGVR* || id:601,Nalls et al. 2019 (clinically diagnosed cases),snp+na
ADpSGEGDFXAEGGGVR* || id:601,Chang et al. 2017,snp+na
1-eicosatrienoylglycerophosphocholine* || id:602,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:61,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:61,Chang et al. 2017,na
Waist circumference || id:61,Nalls et al. 2014,na
X-12456 || id:613,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12456 || id:613,Chang et al. 2017,snp+na
Octanoylcarnitine || id:615,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Octanoylcarnitine || id:615,Chang et al. 2017,snp+na
Alpha-hydroxyisovalerate || id:616,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Decanoylcarnitine || id:618,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Decanoylcarnitine || id:618,Chang et al. 2017,snp+na
Waist circumference || id:62,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:62,Chang et al. 2017,na
Waist circumference || id:62,Nalls et al. 2014,na
Epiandrosterone sulfate || id:627,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12510--2-aminooctanoic acid || id:629,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12510--2-aminooctanoic acid || id:629,Chang et al. 2017,snp+na
Waist circumference || id:63,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:63,Chang et al. 2017,na
Waist circumference || id:63,Nalls et al. 2014,na
X-12524 || id:630,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12524 || id:630,Chang et al. 2017,snp+na
